[2026-07-21 00:24:43 +0000] 
[2026-07-21 00:24:43 +0000] pyEGA3 - EGA python client version 5.2.0 (https://github.com/EGA-archive/ega-download-client)
[2026-07-21 00:24:43 +0000] Parts of this software are derived from pyEGA (https://github.com/blachlylab/pyega) by James Blachly
[2026-07-21 00:24:43 +0000] Python version : 3.11.13
[2026-07-21 00:24:43 +0000] OS version : Linux #1 SMP Sun Jan 10 15:06:54 PST 2016
[2026-07-21 00:24:43 +0000] Server URL: https://ega.ebi.ac.uk:8443/v2
[2026-07-21 00:24:43 +0000] Session-Id: 2216743880
[2026-07-21 00:24:44 +0000] 
[2026-07-21 00:24:44 +0000] Authentication success for user '<EGA_USER_REDACTED>'
[2026-07-21 00:24:48 +0000] File ID         Status Bytes        Check sum                            File name
[2026-07-21 00:24:48 +0000] EGAF00008095088      1 1564900262   5f60ae9ee4d186d4a93eebe1b6e77d9f     IM_147.bam
[2026-07-21 00:24:48 +0000] EGAF00008095089      1 932245662    191c9fb6e9b531a560ad2b32f3690bf0     IM_148.bam
[2026-07-21 00:24:48 +0000] EGAF00008095083      1 434115794    fd9035da3766a68348cd16a3d4e7ab73     IM_139.bam
[2026-07-21 00:24:48 +0000] EGAF00008095084      1 475353497    f54adbf3e20c8e6f21cb20f4ae095964     IM_14.bam
[2026-07-21 00:24:48 +0000] EGAF00008095085      1 561001912    05ab04ba4e1835672fa542efe0c96cf5     IM_140.bam
[2026-07-21 00:24:48 +0000] EGAF00008095086      1 1002409561   6d958ff00f8aa3241a63c5b47414970f     IM_143.bam
[2026-07-21 00:24:48 +0000] EGAF00008095080      1 912884252    3ae627de7f8c2d0e1e0241b3c6537782     IM_135.bam
[2026-07-21 00:24:48 +0000] EGAF00008095081      1 493867547    14260f8dcd51467daad6b57d23b6ab9d     IM_136.bam
[2026-07-21 00:24:48 +0000] EGAF00008095082      1 993690605    48df441820df71a6952260e8d9951aa9     IM_138.bam
[2026-07-21 00:24:48 +0000] EGAF00008095197      1 376763725    bc6234f76bcc84eecb49462f168b96d6     IM_274.bam
[2026-07-21 00:24:48 +0000] EGAF00008095076      1 948193389    a1cf446eeab6600723ab597e89d1ec14     IM_13.bam
[2026-07-21 00:24:48 +0000] EGAF00008095198      1 1107528897   32604fcc2a3a27d26b088fa99fbcdc7a     IM_275.bam
[2026-07-21 00:24:48 +0000] EGAF00008095077      1 674667994    7893f4e5ad477b5b11ab88ecc99fcbb6     IM_130.bam
[2026-07-21 00:24:48 +0000] EGAF00008095199      1 1027220955   903e111f2d3507710d9c2987b01fa230     IM_276.bam
[2026-07-21 00:24:48 +0000] EGAF00008095078      1 556777543    eec52d37e0761b8e5749af4d68d22338     IM_131.bam
[2026-07-21 00:24:48 +0000] EGAF00008095079      1 616104975    280921def702674cd83491e045c7309c     IM_133.bam
[2026-07-21 00:24:48 +0000] EGAF00008095193      1 998405209    f2df2436d64a626ace36782284be468a     IM_27.bam
[2026-07-21 00:24:48 +0000] EGAF00008095072      1 513009652    7a213b2bfc75eb17111bba9b6c8d27ba     IM_126.bam
[2026-07-21 00:24:48 +0000] EGAF00008095194      1 884440309    18c6a3002139cdc41befa21838e826cb     IM_270.bam
[2026-07-21 00:24:48 +0000] EGAF00008095073      1 758966102    2e1b17c357a2e30af0d84099d54b8623     IM_127.bam
[2026-07-21 00:24:48 +0000] EGAF00008095195      1 370333483    517799b841f38b4f3b4b788b466b46c9     IM_271.bam
[2026-07-21 00:24:48 +0000] EGAF00008095074      1 1271286035   238f518e8fd4fef0f7171c9f4ed584fd     IM_128.bam
[2026-07-21 00:24:48 +0000] EGAF00008095196      1 598748402    477725a9fcbcdc6463b26f21356fc1ca     IM_272.bam
[2026-07-21 00:24:48 +0000] EGAF00008095075      1 741075114    f3ffdde48c01fef3ee5af6af5b56c3fd     IM_129.bam
[2026-07-21 00:24:48 +0000] EGAF00008095190      1 798114504    0abef7287ad102766d385a97c1bf4964     IM_267.bam
[2026-07-21 00:24:48 +0000] EGAF00008095191      1 735959723    fe9ef2617b6aeb267dc21c0c6e3eab6e     IM_268.bam
[2026-07-21 00:24:48 +0000] EGAF00008095070      1 556042767    b8257dddea38f887c982f68306277552     IM_124.bam
[2026-07-21 00:24:48 +0000] EGAF00008095192      1 808625909    b7c898c094a89a5e66d67c8d0899ad13     IM_269.bam
[2026-07-21 00:24:48 +0000] EGAF00008095071      1 389406305    7e5e1435c835dc25b87f08037b8e8132     IM_125.bam
[2026-07-21 00:24:48 +0000] EGAF00008096231      1 1218439776   2326e67fc4395dd0969f3873881017c8     IM_189.bam
[2026-07-21 00:24:48 +0000] EGAF00008095384      1 764647470    cc29eecb267bb3fecde534e8c99a51f7     IM_84.bam
[2026-07-21 00:24:48 +0000] EGAF00008095263      1 336912657    ea1692bf7c276a895820ae2896e84d89     IM_341.bam
[2026-07-21 00:24:48 +0000] EGAF00008095142      1 930865637    f3a70cbd609c03173c2bce7a9175ff22     IM_22.bam
[2026-07-21 00:24:48 +0000] EGAF00008096232      1 1281709290   b1ee0034973187bc6c9f4fcdcdccc8ef     IM_198.bam
[2026-07-21 00:24:48 +0000] EGAF00008095385      1 1157695767   913d9caadd035e3131e68a1e6c1d7ce3     IM_85.bam
[2026-07-21 00:24:48 +0000] EGAF00008095264      1 751673844    1420c634ed4e3af5f5689d5cb4d9ea8b     IM_342.bam
[2026-07-21 00:24:48 +0000] EGAF00008095143      1 566320111    1c1dcb8c17123f7f7e4ad9934416222d     IM_220.bam
[2026-07-21 00:24:48 +0000] EGAF00008096233      1 1552035318   a2441be57bbe791e0f7f098d3b4fff01     IM_199.bam
[2026-07-21 00:24:48 +0000] EGAF00008095386      1 525904514    ae4692ee2f335c0e00219ea260f1e3fb     IM_87.bam
[2026-07-21 00:24:48 +0000] EGAF00008095265      1 990171796    c63b3e389225b8405fef256bf804d5e1     IM_344.bam
